X,Y,id,initialdate,finaldate,area_ha,iso2,iso3,country,admlvl1,admlvl2,admlvl3,admlvl5,map_source,broadleaved_forest_percent,coniferous_forest_percent,mixed_forest_percent,sclerophillous_vegetation_percent,transitional_vegetation_percent,other_natural_percent,agriculture_percent,artificial_percent,other_percent,natura2k_percent,noneu,updated,area_code,eu_area
,,"213733",2023/03/10 10:56:28.048,2023/03/10 10:56:28.048+00,"12",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Cangas del Narcea,sentinel,0,0,0,0,99.9999999992857,0,0,0,0,4.48195272508981,"0",2023/03/17 09:56:36.085,EU,EU
,,"213516",2023/03/10 02:00:00,2023/03/11 12:14:00+00,"538",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Belmonte de Miranda,sentinel,2.21811460258739,0,0,0,83.1792975970271,13.8632162661712,0.739371534195797,0,0,0.132224686082218,"0",2023/03/17 10:00:35.599,EU,EU
,,"213823",2023/03/16 01:47:00,2023/03/16 03:28:00+00,"9",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Langreo,sentinel,18.1818181816529,0,0,0,81.818181817438,0,0,0,0,0,"0",2023/03/20 08:47:24.552,EU,EU
,,"213737",2023/03/11 01:43:00,2023/03/11 03:21:00+00,"60",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Grado,sentinel,3.57142857142219,0,0,0,96.4285714283992,0,0,0,0,0,"0",2023/03/17 10:01:52.129,EU,EU
,,"213514",2023/03/12 21:59:00,2023/03/13 03:32:00+00,"69",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Tineo,sentinel,5.79710144926696,0,0,0,94.2028985505881,0,0,0,0,100,"0",2023/03/17 10:20:10.693,EU,EU
,,"213744",2023/03/13 01:52:00,2023/03/13 03:32:00+00,"26",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Cangas del Narcea,sentinel,0,0,0,0,99.9999999995652,0,0,0,0,2.6513335656443,"0",2023/03/17 10:20:10.693,EU,EU
,,"213745",2023/03/11 11:20:04.114,2023/03/11 11:20:04.114+00,"51",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Tineo,sentinel,3.84615384614645,0,0,0,96.1538461536612,0,0,0,0,99.4183545362507,"0",2023/03/17 10:20:10.693,EU,EU
,,"213512",2023/03/12 21:59:00,2023/03/13 11:34:00+00,"291",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Belmonte de Miranda,sentinel,1.36986301369816,0,0,0,98.2876712328431,0,0.34246575342454,0,0,100,"0",2023/03/17 10:11:46.644,EU,EU
,,"213513",2023/03/11 02:30:00,2023/03/11 03:21:00+00,"18",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Cangas del Narcea,sentinel,0,0,0,0,99.9999999994118,0,0,0,0,100,"0",2023/03/17 10:53:58.296,EU,EU
,,"213747",2023/03/11 02:30:00,2023/03/11 03:21:00+00,"2",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Cangas del Narcea,sentinel,0,0,0,0,99.9999999966667,0,0,0,0,100,"0",2023/03/17 10:53:58.296,EU,EU
,,"213748",2023/03/13 02:43:00,2023/03/13 03:32:00+00,"7",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Cangas del Narcea,sentinel,0,0,0,0,99.9999999985714,0,0,0,0,100,"0",2023/03/17 10:53:58.296,EU,EU
,,"213749",2023/03/07 11:53:50.081,2023/03/07 11:53:50.081+00,"98",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Somiedo,sentinel,1.02040816326426,0,0,0,98.9795918366337,0,0,0,0,99.9999999999999,"0",2023/03/17 10:53:58.296,EU,EU
,,"213750",2023/03/13 01:52:00,2023/03/13 02:43:00+00,"6",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Somiedo,sentinel,62.4999999992187,0,0,0,0,0,37.4999999995313,0,0,100,"0",2023/03/17 14:01:10.185,EU,EU
,,"211906",2023/02/01 12:25:00,2023/02/01 12:25:00+00,"2",ES,ESP,España,Centro (ES),Castilla-La Mancha,Ciudad Real,Calzada de Calatrava,sentinel,0,0,0,0,0,99.99999999,0,0,0,0,"0",2023/06/06 14:01:45.531,EU,EU
,,"213752",2023/03/07 15:07:31.235,2023/03/07 15:07:31.235+00,"27",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Somiedo,sentinel,7.14285714283163,0,0,0,92.8571428568112,0,0,0,0,100,"0",2023/03/17 14:07:42.474,EU,EU
,,"213753",2023/03/11 02:30:00,2023/03/11 03:21:00+00,"2",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Somiedo,sentinel,0,0,0,0,99.9999999966667,0,0,0,0,100,"0",2023/03/17 14:08:36.219,EU,EU
,,"213754",2023/03/07 15:08:27.497,2023/03/07 15:08:27.497+00,"11",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Somiedo,sentinel,0,0,0,0,99.9999999991667,0,0,0,0,100,"0",2023/03/17 14:08:36.219,EU,EU
,,"213755",2023/03/10 13:25:00,2023/03/10 13:25:00+00,"5",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Teverga,sentinel,0,0,0,0,99.9999999966667,0,0,0,0,100,"0",2023/03/17 14:13:51.034,EU,EU
,,"213756",2023/03/11 01:43:00,2023/03/11 02:30:00+00,"7",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Grado,sentinel,16.6666666663889,0,0,0,66.6666666655556,0,16.6666666663889,0,0,0,"0",2023/03/17 14:13:51.034,EU,EU
,,"213757",2023/03/10 13:25:00,2023/03/10 14:14:00+00,"5",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Yernes y Tameza,sentinel,0,0,0,0,99.999999998,0,0,0,0,100,"0",2023/03/17 14:13:51.034,EU,EU
,,"213758",2023/03/10 22:14:00,2023/03/11 02:30:00+00,"13",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Grado,sentinel,7.69230769224852,0,0,0,84.6153846147337,0,7.69230769224852,0,0,0,"0",2023/03/17 14:13:51.034,EU,EU
,,"213760",2023/03/11 15:13:43.292,2023/03/11 15:13:43.292+00,"27",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Grado,sentinel,0,0,0,0,99.9999999996154,0,0,0,0,0,"0",2023/03/17 14:13:51.034,EU,EU
,,"213761",2023/03/08 02:38:00,2023/03/08 03:25:00+00,"63",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Belmonte de Miranda,sentinel,0,0,0,0,99.9999999998438,0,0,0,0,0,"0",2023/03/17 14:24:12.286,EU,EU
,,"213762",2023/03/16 01:47:00,2023/03/16 01:47:00+00,"11",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Cangas del Narcea,sentinel,0,0,0,0,99.9999999992308,0,0,0,0,100,"0",2023/03/17 14:24:12.286,EU,EU
,,"213878",2023/03/15 12:38:00,2023/03/15 14:20:00+00,"11",ES,ESP,España,Centro (ES),Castilla y León,Ávila,Santiago del Collado,sentinel,0,0,0,99.9999999990909,0,0,0,0,0,0,"0",2023/03/20 10:09:04.124,EU,EU
,,"213765",2023/03/12 14:29:00,2023/03/12 14:29:00+00,"10",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Lena,sentinel,0,0,0,0,99.9999999988889,0,0,0,0,0,"0",2023/03/17 14:24:12.286,EU,EU
,,"213552",2023/03/12 14:29:00,2023/03/12 14:29:00+00,"25",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Lena,sentinel,30.7692307691124,0,0,0,69.230769230503,0,0,0,0,100,"0",2023/03/17 14:24:12.286,EU,EU
,,"213767",2023/03/15 02:09:00,2023/03/15 02:56:00+00,"14",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Aller,sentinel,0,0,0,0,99.9999999993333,0,0,0,0,0,"0",2023/03/17 14:29:48.521,EU,EU
,,"213893",2023/03/14 01:34:00,2023/03/14 01:34:00+00,"4",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Onís,sentinel,99.999999998,0,0,0,0,0,0,0,0,0,"0",2023/03/20 13:59:21.509,EU,EU
,,"213769",2023/03/15 02:09:00,2023/03/15 02:09:00+00,"127",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Piloña,sentinel,1.57480314960506,0,0,0,93.700787401501,4.72440944881518,0,0,0,0,"0",2023/03/17 14:29:48.521,EU,EU
,,"213770",2023/03/13 12:27:00,2023/03/13 12:27:00+00,"3",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Piloña,sentinel,0,0,0,0,0,99.999999995,0,0,0,0,"0",2023/03/17 14:36:57.344,EU,EU
,,"213771",2023/03/16 01:47:00,2023/03/16 03:28:00+00,"2",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Piloña,sentinel,0,0,0,0,99.99999999,0,0,0,0,0,"0",2023/03/17 14:36:57.344,EU,EU
,,"214683",2023/03/26 14:14:00,2023/03/26 14:14:00+00,"11",ES,ESP,España,Noroeste,Cantabria,Cantabria,Colindres,sentinel,66.6666666659259,0,0,0,0,0,33.333333332963,0,0,0,"0",2023/04/04 08:56:52.479,EU,EU
,,"213783",2023/03/17 02:17:00,2023/03/17 13:42:00+00,"35",ES,ESP,España,Noroeste,Cantabria,Cantabria,"Tojos, Los",sentinel,33.3333333332407,0,0,0,66.6666666664815,0,0,0,0,99.9999999999999,"0",2023/03/20 07:50:18.784,EU,EU
,,"213775",2023/03/07 15:36:09.317,2023/03/07 15:36:13.038+00,"17",ES,ESP,España,Noroeste,Cantabria,Cantabria,Cabuérniga,sentinel,0,0,0,0,99.9999999994118,0,0,0,0,0,"0",2023/03/17 14:36:57.344,EU,EU
,,"213784",2023/03/17 02:17:00,2023/03/17 14:05:00+00,"55",ES,ESP,España,Noroeste,Cantabria,Cantabria,"Tojos, Los",sentinel,0,0,0,0,99.9999999998246,0,0,0,0,100,"0",2023/03/29 14:03:35.084,EU,EU
,,"214684",2023/03/29 13:16:00,2023/03/29 14:08:00+00,"7",ES,ESP,España,Sur,Andalucía,Almería,Huércal-Overa,sentinel,28.5714285710204,0,0,0,0,0,71.428571427551,0,0,0,"0",2023/04/04 08:56:52.479,EU,EU
,,"211902",2023/01/31 14:26:00,2023/01/31 14:26:00+00,"5",ES,ESP,España,Noroeste,Galicia,A Coruña,Carnota,sentinel,0,0,0,0,83.3333333319444,16.6666666663889,0,0,0,0,"0",2023/06/06 14:01:45.531,EU,EU
,,"213787",2023/03/17 02:17:00,2023/03/17 02:17:00+00,"26",ES,ESP,España,Noroeste,Cantabria,Cantabria,Cabuérniga,sentinel,0,0,0,0,99.9999999996154,0,0,0,0,0,"0",2023/03/20 07:53:13.671,EU,EU
,,"213790",2023/03/17 00:00:00,2023/03/17 00:00:00+00,"9",ES,ESP,España,Noroeste,Cantabria,Cantabria,Valdáliga,sentinel,0,0,0,0,99.9999999988889,0,0,0,0,0,"0",2023/03/20 07:54:30.778,EU,EU
,,"213918",2023/03/13 12:27:00,2023/03/13 12:27:00+00,"9",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Caso,sentinel,24.9999999996875,0,0,0,74.9999999990625,0,0,0,0,100,"0",2023/03/21 09:46:47.367,EU,EU
,,"213779",2023/03/14 01:34:00,2023/03/14 02:26:00+00,"12",ES,ESP,España,Este,Cataluña,Tarragona,"Selva del Camp, La",sentinel,0,0,0,99.9999999992308,0,0,0,0,0,0,"0",2023/03/17 14:47:38.071,EU,EU
,,"214103",2023/03/23 02:06:00,2023/04/06 13:27:00+00,"35",ES,ESP,España,Noroeste,Cantabria,Cantabria,Luena,sentinel,0,0,0,0,97.1428571425796,0,2.85714285713469,0,0,100,"0",2023/04/26 06:36:49.200,EU,EU
,,"213466",2023/03/11 02:02:00,2023/03/11 02:30:00+00,"42",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Cangas de Onís,sentinel,7.49999999998125,0,0,0,92.4999999997687,0,0,0,0,0,"0",2023/03/20 07:56:57.216,EU,EU
,,"213793",2023/03/15 11:17:00,2023/03/15 12:40:00+00,"7",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Llanes,sentinel,0,0,0,0,99.9999999985714,0,0,0,0,0,"0",2023/03/20 07:57:22.091,EU,EU
,,"213794",2023/02/13 00:00:00,2023/02/13 00:00:00+00,"14",ES,ESP,España,Noroeste,Cantabria,Cantabria,Herrerías,sentinel,0,0,0,0,99.9999999992857,0,0,0,0,0,"0",2023/03/20 07:58:31.261,EU,EU
,,"213795",2023/02/13 00:00:00,2023/02/13 00:00:00+00,"14",ES,ESP,España,Noroeste,Cantabria,Cantabria,Herrerías,sentinel,0,0,0,0,99.9999999994118,0,0,0,0,0,"0",2023/03/20 07:58:56.313,EU,EU
,,"213796",2023/02/13 00:00:00,2023/02/13 00:00:00+00,"17",ES,ESP,España,Noroeste,Cantabria,Cantabria,Herrerías,sentinel,0,0,0,0,99.999999999375,0,0,0,0,0,"0",2023/03/20 08:01:39.686,EU,EU
,,"213797",2023/03/17 02:17:00,2023/03/17 03:10:00+00,"68",ES,ESP,España,Noroeste,Cantabria,Cantabria,Saro,sentinel,7.35294117645978,2.94117647058391,0,0,77.9411764704736,2.94117647058391,8.82352941175173,0,0,0,"0",2023/03/20 08:04:52.391,EU,EU
,,"213798",2023/03/09 03:08:00,2023/03/10 02:00:00+00,"255",ES,ESP,España,Noroeste,Cantabria,Cantabria,Miera,sentinel,0,0,0,0,92.5490196078069,0,7.45098039215394,0,0,0,"0",2023/03/20 08:09:39.823,EU,EU
,,"213799",2023/03/13 12:27:00,2023/03/13 13:16:00+00,"43",ES,ESP,España,Noroeste,Cantabria,Cantabria,Liérganes,sentinel,0,2.27272727272211,0,0,0,93.1818181816064,4.54545454544421,0,0,0,"0",2023/03/20 08:10:10.045,EU,EU
,,"213800",2023/03/16 01:47:00,2023/03/16 02:36:00+00,"12",ES,ESP,España,Noroeste,Cantabria,Cantabria,Arredondo,sentinel,0,0,0,0,99.9999999991667,0,0,0,0,0,"0",2023/03/20 08:10:45.448,EU,EU
,,"213801",2023/02/13 00:00:00,2023/02/13 00:00:00+00,"163",ES,ESP,España,Noroeste,Cantabria,Cantabria,Arredondo,sentinel,4.9689440993758,0,0,0,95.0310559005621,0,0,0,0,100,"0",2023/03/20 08:11:50.729,EU,EU
,,"213802",2023/02/15 00:00:00,2023/02/15 00:00:00+00,"153",ES,ESP,España,Noroeste,Cantabria,Cantabria,Soba,sentinel,0,0,0,0,99.9999999999342,0,0,0,0,100,"0",2023/03/20 08:12:37.071,EU,EU
,,"215043",2023/04/06 12:27:00,2023/04/06 13:18:00+00,"12",ES,ESP,España,Noroeste,Cantabria,Cantabria,Luena,sentinel,0,0,0,0,99.9999999992308,0,0,0,0,95.1265527783601,"0",2023/04/26 06:36:49.200,EU,EU
,,"213817",2023/03/15 11:17:00,2023/03/15 11:49:00+00,"11",ES,ESP,España,Centro (ES),Castilla y León,Soria,"Aldehuelas, Las",sentinel,0,0,0,0,99.9999999991667,0,0,0,0,100,"0",2023/03/20 08:34:33.613,EU,EU
,,"213820",2023/03/10 00:00:00,2023/03/10 00:00:00+00,"49",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Piloña,sentinel,0,0,0,0,99.9999999997917,0,0,0,0,1.83934735702619,"0",2023/03/20 08:43:09.753,EU,EU
,,"213485",2023/03/10 00:00:00,2023/03/10 00:00:00+00,"19",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Piloña,sentinel,4.999999999975,0,0,0,94.999999999525,0,0,0,0,0,"0",2023/03/20 08:43:23.129,EU,EU
,,"213838",2023/03/13 12:27:00,2023/03/13 12:27:00+00,"14",ES,ESP,España,Noroeste,Cantabria,Cantabria,Villacarriedo,sentinel,0,0,0,0,99.999999999375,0,0,0,0,0,"0",2023/03/20 09:24:30.517,EU,EU
,,"213922",2023/03/11 10:49:37.924,2023/03/11 10:49:37.924+00,"21",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Ponga,sentinel,24.999999999875,0,0,0,74.999999999625,0,0,0,0,100,"0",2023/03/21 09:49:44.571,EU,EU
,,"213923",2023/03/18 01:58:00,2023/03/18 01:58:00+00,"4",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Cangas de Onís,sentinel,0,0,0,0,99.9999999975,0,0,0,0,0,"0",2023/03/21 10:44:32.288,EU,EU
,,"213828",2023/03/04 10:11:27.290,2023/03/04 10:11:27.290+00,"19",ES,ESP,España,Noroeste,Principado de Asturias,Asturias,Tineo,sentinel,0,0,0,0,99.9999999994445,0,0,0,0,0,"0",2023/03/20 09:11:34.884,EU,EU
